Date_evenement;Total_Deces2020;Total_Deces2019;Total_Deces2018
14/09/2020;344271;314710;320674
15/09/2020;346087;316255;322201
16/09/2020;347797;317874;323639
17/09/2020;349451;319487;325201
18/09/2020;351196;320966;326721
19/09/2020;352954;322514;328283
20/09/2020;354614;324162;329872
21/09/2020;356265;325814;331420
22/09/2020;357846;327403;332909
23/09/2020;359410;328930;334415
24/09/2020;361006;330399;335884
25/09/2020;362583;331955;337390
26/09/2020;364139;333565;338843
27/09/2020;365695;335091;340455
28/09/2020;367407;336657;342097
29/09/2020;369092;338185;343651
30/09/2020;370832;339762;345114
01/10/2020;372604;341391;346686
02/10/2020;374337;342999;348263
03/10/2020;376055;344605;349877
04/10/2020;377747;346201;351596
05/10/2020;379420;347785;353241
06/10/2020;381207;349383;354915
07/10/2020;382886;350981;356433
08/10/2020;384600;352605;357953
09/10/2020;386409;354194;359608
10/10/2020;388097;355815;361270
11/10/2020;389712;357480;362956
12/10/2020;391442;359107;364622
13/10/2020;393130;360751;366223
14/10/2020;394832;362421;367829
15/10/2020;396583;364062;369488
16/10/2020;398357;365731;371127
17/10/2020;400145;367324;372722
18/10/2020;401837;368944;374292
19/10/2020;403641;370550;375854
20/10/2020;405503;372175;377368
21/10/2020;407468;373793;378850
22/10/2020;409383;375402;380410
23/10/2020;411216;377071;382048
24/10/2020;412966;378722;383659
25/10/2020;414843;380421;385319
26/10/2020;416592;382052;386895
